ratting,name,city
3.6, Petrol Pump · National Highway 91,Ghaziabad
3.9," Petrol Pump · 318, Ambedkar Rd ",Ghaziabad
3.7,"Petrol Pump · NH- 24, Village Mawai, Vijaynagar By Pass",Ghaziabad
3.8,"Petrol Pump · Gokula More, National Highway 24 ",Ghaziabad
3.7," Petrol Pump · Asian Highway, 2",Ghaziabad
3.9,"318, Ambedkar Rd, Pocket E, Maliwara, Nehru Nagar, Ghaziabad, Uttar Pradesh 201001",Ghaziabad
4.1,Shiva Petrol Pum-Hapur Rd,Ghaziabad
4.5,IBP Petrol Pump,Ghaziabad
3.7, Hindustan Petrol Pump,Ghaziabad
3.2,"Khasra No.582/2 Village:-Shahpur Bamheta N.H-24, Bridge, near Lal Kuan ",Ghaziabad
3.5,"Bharat Petroleum, Petrol Pump -Shiva Automobile Stores, Ghaziabad",Ghaziabad
3.5,"Petrol Pump · block 1, 86, Ashok Marg",Ghaziabad
3,"Petrol Pump · 360, Maliwara Basant Rd",Ghaziabad
3.8," Petrol Pump · 104, Crossing Republic Road, Crossings Republik",Ghaziabad
3.9,Reliance Petrol Pump-Meerut Rd ,Ghaziabad
3.8,"Petrol Pump · 380, GT Road",Ghaziabad
3.2,  Adarsh service station-Petrol Pump · G182 ,Ghaziabad
3.2,"petrol Pump · South Side Indl.Aerea, Vijay Nagar By Pass, N.H-24, Opp. Abes Engg. College",Ghaziabad
3.8,Indian Oil Petrol Pump,delhi
3.9,Indian Oil Petrol Pump (A group of Sinha Petroleum),delhi
3.7,IOC Petrol Pump,delhi
3.6,"Petrol Pump · Raja Ram Marg, Geeta Colony, Shahdara ",delhi
3.8,HP Petrol Pump - Victory Service Station,delhi
3.8,"Petrol Pump · C8, Mehrauli Mahipalpu",delhi
3.7,Sethi Auto Service station,delhi
3.8,"Petrol Pump · Mathura Rd, opposite mohan estate metro station",delhi
3.5,"Petrol Pump · Plot No.38-A CBD Ground, next to Leela Ambience Hotel",delhi
3.6,"Petrol Pump · C-324, C-324, Loni Rd",delhi
3.7,"Petrol Pump · Khasra No. 178/14, Bawana Road Via Poothkhurd ",delhi
3.9,"Petrol Pump · The Mall Road, Lock No 985",delhi
4,Petrol Pump · Mathura Rd,delhi
3.6,"Petrol Pump · 20/A, Sham Nath Marg",delhi
4," Petrol Pump · B Block, Monday Market Road, West Shalimar Bagh, Shalimar Bagh ",delhi
3.8,Petrol Pump · NH 24,delhi
3.8,Petrol Pump · Outer Ring Rd,delhi
3.9," Petrol Pump · 44 34, Aggarwal City Mall, Shyamji Krishna Varma Marg, Saint Nagar Delhi, Rani Bagh, Najafgarh Road Industrial Are",delhi
3.7,· Petrol Pump · GT Road   Ad ,delhi
3.7,Petrol Pump · next to bank colony bus stand toward,delhi
3.3,IGL CNG Pump Pilkhuwa (CNG) ,pilkhuwa
4,Sona Evalclutra Petrol Pump,gaziabad
3.8,JAI BHAGWAN DAS FUEL &SERVICES (INDIANOIL),anwarpur
3.7,Cng Pump   ,pilkhuwa
5,SHASHANK PETROLEUM AND FUELS GODOWN,hapur
4,IOC SSS Petrol Pump,pilkhuwa
3.9,Essar Petrol Pump,ravali
3.6,Essar Petrol Pump and CNG Station,u.p
3.9,HP PETROL PUMP - CHOUDHARY VEDPAL HP CENTER,hapur
3.7,IGL,hapur
3.9,Indian Oil Petrol Pump,ghazibad
3.7,"Bharat Petroleum, Petrol Pump -Kansal Roadline Tankers ",pilkhuwa
3.3,INDIAN OIL PETROL DIESEL CNG,pilkhuwa
3.4,Kansal roadline tankers BPCL PETROL PUMP,pilkhuwa
3.7,HP PETROL PUMP - EXCEL HP OIL COMPANY,meerut
3.6,IGL,hapur
3.8,Indian Oil Petrol Pump,pilkhuwa
3.7,Indian Oil Petrol Pump,pilkhuwa
